id,code,short_name,full_name,list_status_id,list_status,issuer,company_code,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment,maturity
27793,030112,03央行票据12,2003年第十二期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-06-12,2003-09-01,2003-06-11,2003-09-11,,2003-09-11,,92 days
27795,030114,03央行票据14,2003年第十四期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-06-19,2003-09-08,2003-06-18,2003-09-18,,2003-09-18,,92 days
27797,030116,03央行票据16,2003年第十六期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-06-26,2003-09-15,2003-06-25,2003-09-25,,2003-09-25,,92 days
27799,030118,03央行票据18,2003年第十八期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,2,703019,央行票据,704001,记账式,2003-07-03,2003-09-20,2003-07-02,2003-09-30,,2003-09-30,,90 days
27801,030120,03央行票据20,2003年第二十期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-07-10,2003-09-29,2003-07-09,2003-10-09,,2003-10-09,,92 days
27802,030121,03央行票据21,2003年第二十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-07-17,2003-10-06,2003-07-16,2003-10-16,,2003-10-16,,92 days
27803,030123,03央行票据23,2003年第二十三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-07-24,2003-10-13,2003-07-23,2003-10-23,,2003-10-23,,92 days
27805,030125,03央行票据25,2003年第二十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-07-31,2003-10-20,2003-07-30,2003-10-30,,2003-10-30,,92 days
27807,030127,03央行票据27,2003年第二十七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-08-07,2003-10-27,2003-08-06,2003-11-06,,2003-11-06,,92 days
27809,030129,03央行票据29,2003年第二十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-08-14,2003-11-03,2003-08-13,2003-11-13,,2003-11-13,,92 days
27812,030132,03央行票据32,2003年第三十二期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-08-21,2003-11-10,2003-08-20,2003-11-20,,2003-11-20,,92 days
27815,030135,03央行票据35,2003年第三十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-08-28,2003-11-17,2003-08-27,2003-11-27,,2003-11-27,,92 days
27816,030136,03央行票据36,2003年第三十六期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-09-04,2003-11-23,2003-09-03,2003-12-03,,2003-12-03,,91 days
27817,030137,03央行票据37,2003年第三十七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-09-11,2003-11-30,2003-09-10,2003-12-10,,2003-12-10,,91 days
27819,030139,03央行票据39,2003年第三十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-09-18,2003-12-07,2003-09-17,2003-12-17,,2003-12-17,,91 days
27821,030141,03央行票据41,2003年第四十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-09-25,2003-12-14,2003-09-24,2003-12-24,,2003-12-24,,91 days
27823,030143,03央行票据43,2003年第四十三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-10-16,2004-01-05,2003-10-15,2004-01-15,,2004-01-15,,92 days
27825,030145,03央行票据45,2003年第四十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-10-23,2004-01-11,2003-10-22,2004-01-21,,2004-01-21,,91 days
27827,030147,03央行票据47,2003年第四十七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-10-30,2004-01-19,2003-10-29,2004-01-29,,2004-01-29,,92 days
27862,030151,03央行票据51,2003年第五十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-11-20,2004-02-09,2003-11-19,2004-02-19,,2004-02-19,,92 days
27864,030149,03央行票据49,2003年第四十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-11-13,2004-02-02,2003-11-12,2004-02-12,,2004-02-12,,92 days
27866,030153,03央行票据53,2003年第五十三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-11-27,2004-02-16,2003-11-26,2004-02-26,,2004-02-26,,92 days
27868,030155,03央行票据55,2003年第五十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-12-04,2004-02-22,2003-12-03,2004-03-03,,2004-03-03,,91 days
27870,030157,03央行票据57,2003年第五十七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-12-11,2004-02-29,2003-12-10,2004-03-10,,2004-03-10,,91 days
27872,030159,03央行票据59,2003年第五十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-12-18,2004-03-07,2003-12-17,2004-03-17,,2004-03-17,,91 days
27874,030161,03央行票据61,2003年第六十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-12-25,2004-03-14,2003-12-24,2004-03-24,,2004-03-24,,91 days
27876,030163,03央行票据63,2003年第六十三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-01-02,2004-03-21,2003-12-31,2004-03-31,,2004-03-31,,91 days
27877,0401001,04央行票据1,2004年第一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-01-08,2004-03-28,2004-01-07,2004-04-07,,2004-04-07,,91 days
27879,0401003,04央行票据3,2004年第三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-01-15,2004-04-04,2004-01-14,2004-04-14,,2004-04-14,,91 days
27881,0401006,04央行票据6,2004年第六期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,2,703019,央行票据,704001,记账式,2004-02-05,2004-04-20,2004-02-04,2004-04-30,,2004-04-30,,86 days
27885,0401007,04央行票据7,2004年第七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-02-12,2004-05-01,2004-02-11,2004-05-11,,2004-05-11,,90 days
27887,0401009,04央行票据9,2004年第九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-02-19,2004-05-08,2004-02-18,2004-05-18,,2004-05-18,,90 days
27893,0401012,04央行票据12,2004年第十二期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-02-26,2004-05-15,2004-02-25,2004-05-25,,2004-05-25,,90 days
27896,0401015,04央行票据15,2004年第十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-03-04,2004-05-24,2004-03-03,2004-06-03,,2004-06-03,,92 days
27902,0401018,04央行票据18,2004年第十八期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-03-11,2004-05-31,2004-03-10,2004-06-10,,2004-06-10,,92 days
27905,0401021,04央行票据21,2004年第二十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-03-18,2004-06-07,2004-03-17,2004-06-17,,2004-06-17,,92 days
27909,0401024,04央行票据24,2004年第二十四期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-03-25,2004-06-14,2004-03-24,2004-06-24,,2004-06-24,,92 days
27914,0401027,04央行票据27,2004年第二十七期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-04-01,2004-06-20,2004-03-31,2004-06-30,,2004-06-30,,91 days
27917,0401029,04央行票据29,2004年第二十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-04-08,2004-06-27,2004-04-07,2004-07-07,,2004-07-07,,91 days
27922,0401031,04央行票据31,2004年第三十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-04-15,2004-07-04,2004-04-14,2004-07-14,,2004-07-14,,91 days
27934,0401035,04央行票据35,2004年第三十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-05-20,2004-08-09,2004-05-19,2004-08-19,,2004-08-19,,92 days
27936,0401038,04央行票据38,2004年第三十八期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-05-27,2004-08-16,2004-05-26,2004-08-26,,2004-08-26,,92 days
27944,0401040,04央行票据40,2004年第四十期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-06-03,2004-08-23,2004-06-02,2004-09-02,,2004-09-02,,92 days
27952,0401044,04央行票据44,2004年第四十四期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-06-24,2004-09-13,2004-06-23,2004-09-23,,2004-09-23,,92 days
27955,0401045,04央行票据45,2004年第四十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-07-01,2004-09-20,2004-06-30,2004-09-30,,2004-09-30,,92 days
27956,0401051,04央行票据51,2004年第五十一期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-07-08,2004-09-27,2004-07-07,2004-10-07,,2004-10-07,,92 days
27961,0401053,04央行票据53,2004年第五十三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-07-15,2004-10-04,2004-07-14,2004-10-14,,2004-10-14,,92 days
27963,0401055,04央行票据55,2004年第五十五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-07-22,2004-10-11,2004-07-21,2004-10-21,,2004-10-21,,92 days
27968,0401059,04央行票据59,2004年第五十九期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-08-06,2004-10-09,2004-08-06,2004-11-08,,2004-11-08,,94 days
